Race,Age.Group,Year.of.diagnosis,Sex,Count
0,9,18,2,34
0,9,19,0,90
0,9,19,1,55
0,9,19,2,35
0,9,20,0,94
0,9,20,1,56
0,9,20,2,38
0,9,21,0,97
0,9,21,1,58
0,9,21,2,39
0,9,22,0,66
0,9,22,1,35
0,9,22,2,31
0,9,23,0,73
0,9,23,1,46
0,9,23,2,27
0,9,24,0,92
0,9,24,1,56
0,9,24,2,36
0,9,25,0,87
0,9,25,1,47
0,9,25,2,40
0,9,26,0,77
0,9,26,1,48
0,9,26,2,29
0,9,27,0,98
0,9,27,1,53
0,9,27,2,45
0,9,28,0,91
0,9,28,1,50
0,9,28,2,41
0,9,29,0,103
0,9,29,1,62
0,9,29,2,41
0,9,30,0,92
0,9,30,1,50
0,9,30,2,42
0,9,31,0,102
0,9,31,1,52
0,9,31,2,50
0,9,32,0,91
0,9,32,1,47
0,9,32,2,44
0,9,33,0,97
0,9,33,1,59
0,9,33,2,38
0,9,34,0,85
0,9,34,1,57
0,9,34,2,28
0,9,35,0,100
0,9,35,1,66
0,9,35,2,34
0,9,36,0,89
0,9,36,1,45
0,9,36,2,44
0,9,37,0,101
0,9,37,1,61
0,9,37,2,40
0,9,38,0,113
0,9,38,1,65
0,9,38,2,48
0,9,39,0,103
0,9,39,1,59
0,9,39,2,44
0,9,40,0,89
0,9,40,1,52
0,9,40,2,37
0,9,41,0,110
0,9,41,1,57
0,9,41,2,53
0,9,42,0,102
0,9,42,1,68
0,9,42,2,34
0,9,43,0,76
0,9,43,1,52
0,9,43,2,24
0,9,44,0,81
0,9,44,1,41
0,9,44,2,40
0,9,45,0,103
0,9,45,1,64
0,9,45,2,39
0,10,0,0,4810
